mpn,question,answer,answer_accuracy,question_category,notes,q_modality
LNJ337W83RA,What is the relative luminuous intensity at 80 degrees C,Relative luminous intensity (%) decreases from ~150% to ~50% as ambient temperature increases from -30°C to 90°C,estimation,chart,,
LNJ337W83RA,What is the storage temperature rating,Storage temperature Tstg -40 to +100 °C,exact,table,,
LNJ337W83RA,What is the spectral half band width,"For IF = 5 mA, the spectral half band width is 20nm",exact,table,,
LNJ337W83RA,What is the dominant emission wavelength,"Min: 566, Typ: 572, Max: 576 nm",exact,table,,
LNJ337W83RA,What is the relative luminuous intensity at 550nm,~5%,exact,chart,Failed to answer in individual testing,
LNJ337W83RA,What is the peak emission wavelength,575 nm,exact,table,,
LNJ337W83RA,What is the forward current at 60 degrees C,10 mA,exact,chart,“Current must be derated from ~20 mA at room temperature to ~5 mA at 90°C”,
LNJ337W83RA,What is the forward current at forward voltage of 1.9,2 mA,exact,chart,,
LNJ337W83RA,Tell me about the directive characteristics,"Relatively wide beam angle +/-60-70 degrees, with a maximum intensity at 0 degrees (on axis)",estimation,chart,Proof that the polar plot is at least being read,
BZX84C68LT1G,What is the total power dissipation on the FR-5 board,250 mW,exact,text,,
BSS169H6327XTSA1,What is the total power dissipation when the ambient temperature (TA) is 100 degrees C,100 W,exact,chart,,
BSS169H6327XTSA1,What is the drain current ID for ambient temperature (TA) 120 degrees C,0.14 A,exact,chart,,
BSS169H6327XTSA1,What is the drain source breakdown voltage at 60 degrees C,105 V,exact,chart,,
BSS169H6327XTSA1,What is the Max Gate to source charge Qgs?,0.16 nC,exact,table,,
BSS169H6327XTSA1,At what ambient temperature (TA) does the drain current start to fall off dramatically,~100 C,estimation,chart,,
BZX84C68LT1G,What is the Max VZ1 Below @ IZT1 = 2 mA,72,exact,table,,
BZX84C68LT1G,What is the device marking,Y20,exact,table,,
BZX84C68LT1G,What is the temperature coefficient at the Nominal Zener Voltage 7,3.5,estimation,chart,,
BZX84C68LT1G,What is the max reverse leakage current,0.05 uA for 47.6 VR,exact,table,,
SMAJ60A,What is the max breakdown voltage,73.7 VBR,exact,table,,
SMAJ60A,What is the maximum clamping voltage,125.8,exact,table,,
SMAJ60A,What is the peak forward surge current at 10 cycles at 60 Hz,20 Amps,estimation,chart,,
SMAJ60A,At what temperature does the steady state power dissipation begin to drop,75 C,exact,chart,,
SMAJ60A,What is the time to the Peak Pulse Current,10 microseconds,exact,chart,,
GRM32ER71K475KE14L,At what frequency does the impedance reach its minimum value,The impedance reaches its minimum at approximately 5-10 MHz,estimation,chart,,
GRM32ER71K475KE14L,At what frequency range is resistance at its lowest,"It is lowest in the hundreds of kHz to low MHz range, near the capacitor’s optimal operating region",estimation,chart,,
GRM32ER71K475KE14L,How does resistance behave at very high frequencies above 1 GHz,The resistance increases sharply,exact,chart,,
GRM32ER71K475KE14L,"According to the DC Bias Characteristics chart, how does capacitance change as DC bias voltage increases?",Capacitance decreases significantly as DC bias voltage increases,exact,chart,,
GRM32ER71K475KE14L,How much capacitance loss occurs at 80 V DC Bias,Approximately 80-85% compared to its nominal value,estimation,chart,,
GRM32ER71K475KE14L,Over what AC voltage range is the AC voltage characteristic measured,0 to 2 Vrms,exact,chart,,
